Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	2:0 1/6/2022	113
Jim	2:0 1/6/2022	125
Tom	2:0 1/6/2022	87
TomH	2:1 1/6/2022	160
TomH	2:1 1/6/2022	99
Mike	2:48 1/6/2022	140
Jim	2:48 1/6/2022	128
Tom	2:48 1/6/2022	99
Mike	22:38 1/6/2022	139
Jim	22:38 1/6/2022	106
Mike	23:24 1/6/2022	97
Jim	23:24 1/6/2022	146
Tom	23:24 1/6/2022	91
Lana	23:24 1/6/2022	145
Tom	23:24 1/6/2022	167
