Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	2:0 1/6/2022	113
Jim	2:0 1/6/2022	125
Tom	2:0 1/6/2022	87
TomH	2:1 1/6/2022	160
TomH	2:1 1/6/2022	99
Mike	2:48 1/6/2022	140
Jim	2:48 1/6/2022	128
Tom	2:48 1/6/2022	99
Mike	22:38 1/6/2022	139
Jim	22:38 1/6/2022	106
Mike	23:24 1/6/2022	97
Jim	23:24 1/6/2022	146
Tom	23:24 1/6/2022	91
Lana	23:24 1/6/2022	145
Tom	23:24 1/6/2022	167
Jim	0:2 1/0/2022	99
Mike	0:2 1/0/2022	123
Jim	0:18 1/0/2022	96
Tom	0:18 1/0/2022	151
TomH	0:29 1/0/2022	98
Tom	0:29 1/0/2022	167
Tom	0:29 1/0/2022	107
Jim	0:29 1/0/2022	169
Jim	0:29 1/0/2022	123
TomH	0:29 1/0/2022	113
Lana	0:29 1/0/2022	114
Mike	23:9 1/0/2022	143
Jim	23:9 1/0/2022	176
Mike	23:11 1/0/2022	159
Jim	23:11 1/0/2022	149
Karan	23:18 1/0/2022	164
Karan	23:38 1/0/2022	114
TomH	23:38 1/0/2022	112
Tom	23:38 1/0/2022	167
Mike	18:33 1/2/2022	191
Jim	18:33 1/2/2022	101
Mike	14:56 1/3/2022	111
Jim	14:56 1/3/2022	192
Tom	15:56 1/3/2022	93
Lana	15:56 1/3/2022	127
TomH	15:56 1/3/2022	137
Karan	15:56 1/3/2022	139
yASH	15:56 1/3/2022	117
yASH	18:32 1/3/2022	171
TomH	18:32 1/3/2022	140
Lana	18:32 1/3/2022	125
Jim	18:33 1/3/2022	139
Tom	18:33 1/3/2022	101
Karan	18:33 1/3/2022	119
Lana	18:33 1/3/2022	149
Jim	18:34 1/3/2022	99
Karan	18:35 1/3/2022	104
Tom	18:35 1/3/2022	146
yASH	18:35 1/3/2022	111
Lana	18:35 1/3/2022	172
Tom	18:35 1/3/2022	190
